76650|12.77|prikazovati|sbz1 GBZ|slika|DA
28637|11.8|prikazovati|sbz1 GBZ|tabela|DA
4736|9.45|prikazovati|sbz1 GBZ|preglednica|DA
888|7.06|prikazovati|sbz1 GBZ|priloga|DA
9152|10.37|prikazovati|sbz1 GBZ|graf|DA
2047|8.3|prikazovati|sbz1 GBZ|grafikon|DA
1562|7.89|prikazovati|sbz1 GBZ|diagram|DA
3218|8.75|prikazovati|sbz1 GBZ|primer|DA
1506|7.48|prikazovati|sbz1 GBZ|model|DA
1186|6.77|prikazovati|sbz1 GBZ|del|DA
1720|7.56|prikazovati|sbz1 GBZ|rezultat|DA
1574|7.4|prikazovati|sbz1 GBZ|podatek|DA
634|6.52|prikazovati|sbz1 GBZ|oglas|DA
1166|7.45|prikazovati|sbz1 GBZ|enačba|DA
932|7.17|prikazovati|sbz1 GBZ|stolpec|DA
876|7.06|prikazovati|sbz1 GBZ|shema|DA
819|6.91|prikazovati|sbz1 GBZ|kazalnik|DA
705|6.74|prikazovati|sbz1 GBZ|izkaz|DA
650|6.62|prikazovati|sbz1 GBZ|fotografija|DA
633|6.59|prikazovati|sbz1 GBZ|krivulja|DA
613|6.52|prikazovati|sbz1 GBZ|prikaz|DA
612|6.57|prikazovati|sbz1 GBZ|karta|DA
2272|7.86|prikazovati|sbz1 GBZ|število|NE
919|6.88|prikazovati|sbz1 GBZ|b|NE
602|6.38|prikazovati|sbz1 GBZ|a|NE
3923|9.16|prikazovati|GBZ sbz4|rezultat|DA
2768|8.25|prikazovati|GBZ sbz4|podatek|DA
1361|8.13|prikazovati|GBZ sbz4|razmerje|DA
1118|7.61|prikazovati|GBZ sbz4|odgovor|DA
1019|7.6|prikazovati|GBZ sbz4|ocena|DA
906|7.42|prikazovati|GBZ sbz4|povezava|DA
2564|9.01|prikazovati|GBZ sbz4|struktura|DA
2151|8.8|prikazovati|GBZ sbz4|primer|DA
925|7.15|prikazovati|GBZ sbz4|proces|DA
903|7.37|prikazovati|GBZ sbz4|model|DA
820|7.04|prikazovati|GBZ sbz4|sprememba|DA
2493|8.27|prikazovati|GBZ sbz4|vrednost|DA
1370|8.26|prikazovati|GBZ sbz4|gibanje|DA
2471|8.64|prikazovati|GBZ sbz4|delež|DA
2034|8.39|prikazovati|GBZ sbz4|število|DA
1228|7.57|prikazovati|GBZ sbz4|stopnja|DA
2268|8.7|prikazovati|GBZ sbz4|stanje|DA
1062|7.17|prikazovati|GBZ sbz4|vpliv|DA
2114|8.92|prikazovati|GBZ sbz4|primerjava|DA
1428|7.97|prikazovati|GBZ sbz4|razlika|DA
815|7.63|prikazovati|GBZ sbz4|odvisnost|DA
1361|8.42|prikazovati|GBZ sbz4|graf|DA
1210|8.13|prikazovati|GBZ sbz4|potek|DA
1084|7.65|prikazovati|GBZ sbz4|slika|DA
