14|4.25|1256|muca|samostalnik|SBZ0 sbz2|57|94325444|a|muca_297|Dejan in Natalija sta se v psička dobesedno zaljubila, zdaj pa se zelo trudita, da bi ga vzljubila tudi četrta družinska članica - muca Aja.|NE|4:Struktura:NE|2:Ne:NE|3:Ne:NE||
48|6.1|705|jazz|samostalnik|SBZ0 sbz2|65|95226932|abonma|jazz_396|Predprodaja vstopnic in kompletov bo od 22. junija v CD, abonenti jazz abonmaja imajo 20-odstotni popust.|NE|4:Struktura:NE|2:Struktura:NE|5:Struktura:NE||
5|6.14|2107|vodka|samostalnik|sbz0 SBZ2|22|98880912|absolut|vodka_41|Preden spoznate, kako v praksi udejanjiti Lindstromovo teorijo, si morate odgovoriti na preprosto vprašanje, ali bo izdelek še vedno prepoznaven, če mu odstranite logotip, kot je na primer steklenica Coca-Cole ali Absolut Vodke, oglasi Mobitela, Benettona in drugi.|NE|4:Struktura:NE|2:Ne:NE|5:Ne:NE||
632|10.28|1776|senca|samostalnik|SBZ0 sbz2|38|23633678|adolescenca|senca_1|Vzemimo za primer radijsko oddajo, namenjeno v prvi vrsti mladostnikom, npr. Sence adolescence, ki so na sporedu drugega programa Radia Slovenija vsak četrtek ob 19.30.|NE|4:Ne:NE|2:Ne:NE|5:Ne:NE||
32|6.2|652|hormon|samostalnik|SBZ0 sbz2|82|88997421|adrenalin|hormon_486|Če ste nemirni, si pripravite vročo kopel, ki zmanjša delovanje stresnega hormona adrenalina.|NE|4:Struktura:NE|2:Da:DA|5:Struktura:NE||
65|4.26|1801|senca|samostalnik|SBZ0 sbz2|66|23631031|afera|senca_176|Pred dvema letoma je slavil zmago v Milanu v senci velike dopinške afere.|NE|4:Struktura:NE|2:Razsirjena:DA|5:Razsirjena:DA||
17|0.54|67|avtoriteta|samostalnik|SBZ0 sbz2|91|31735341|agencija|avtoriteta_488|Zdi se mi, da je v tem času v okolju avtoriteta agencije na neki način zrasla.|DA|4:Da:DA|2:Da:DA|3:Da:DA||
21|7.62|965|krona|samostalnik|SBZ0 sbz2|78|19089900|agrokombinat|krona_471|V ospredju tekmovalnega dne je bil vsekakor prvi tek v seriji dirk, imenovanih Trojna krona Agrokombinata Maribor.|NE|2:Ne:NE|4:Ne:NE|3:Ne:NE||
10|1.56|346|doktorat|samostalnik|SBZ0 sbz2|23|74314267|akademija|doktorat_145|Bil je član velikega števila mednarodnih institucij in je prejel častne doktorate akademij in univerz po vsem svetu.|DA|4:Razsirjena:DA|2:Da:DA|5:Razsirjena:DA||
28|1.3|153|brazda|samostalnik|sbz0 SBZ2|50|102524016|akcija|brazda_183|Bili ste komentator različnih športnih dogodkov, pozneje pa tudi vodja športno obarvane akcije Brazde vzdržljivosti.|NE|4:Ne:NE|2:Ne:NE|6:Ne:NE||
15|1.46|1309|ohlajanje|samostalnik|SBZ0 sbz2|43|83707031|aktivnost|ohlajanje_66|Ameriškemu gospodarstvu, ki je v tretjem četrtletju zabredlo tudi v uradno recesijo, kljub milijardnim spodbudam še ni uspelo obrzdati padajočih cene nepremičnin, naraščajoče brezposelnosti in ohlajanja gospodarske aktivnosti v realnem sektorju.|DA|4:Razsirjena:DA|2:Razsirjena:DA|7:Da:DA||
7|4.22|805|kobilica|samostalnik|sbz0 SBZ2|30|81029361|Alen|kobilica_185|Na enem največjih svetovnih modnih dogodkov so se po modni brvi sprehodili tudi trije Slovenci, ki sicer delajo pod okriljem najbolj uspešnega slovenskega manekena Alena Kobilice.|NE|2:Ne:NE|4:Struktura:NE|3:Ne:NE||
146|5.48|1577|prevod|samostalnik|SBZ0 sbz2|85|54740925|Aleš|prevod_291|Slovenska praizvedba komedije Gospod gre na lov v svežem prevodu Aleša Bergerja nam ne prinaša ničesar novega.|NE|4:Ne:NE|7:Ne:NE|2:Ne:NE||
14|2.32|2258|žemlja|samostalnik|sbz0 SBZ2|15|81268610|Aleš|žemlja_117|Video v obliki animacije je delo režiserja in scenarista Aleša Žemlje ter animacijske skupine Restart.|NE|4:Struktura:NE|2:Ne:NE|5:Ne:NE||
44|6.04|1569|prevod|samostalnik|SBZ0 sbz2|76|54742222|Alja|prevod_236|Njegovo prepoznavanje univerzalnega ozadja in neposredni verbalni izraz (uporaba slenga, posrečen prevod Alje Predan) besedila povzročata sproščujoče komične učinke.|NE|4:Ne:NE|7:Ne:NE|2:Ne:NE||
13|9.09|2119|vrelišče|samostalnik|SBZ0 sbz2|17|97110964|alkan|vrelišče_11|Slika 1 Diagram odvisnosti tališč in vrelišč normalnih alkanov od števila ogljikovih atomov.|DA|4:Da:DA|2:Da:DA|5:Da:DA||
19|2.75|2123|vrelišče|samostalnik|SBZ0 sbz2|21|97110926|alkohol|vrelišče_31|Na osnovi podatkov o temperaturi vrelišča alkoholov sklepa, kateri alkohol lahko ločimo iz zmesi z destilacijo.|DA|4:MnozinaKol:DA|2:Da:DA|5:Da:DA||
55|3.66|1036|kuhinja|samostalnik|SBZ0 sbz2|133|77577637|Amerika|kuhinja_601|Od 23. januarja bo ob nedeljah na sporedu nova kanadska kuharska serija Entrada kuhinje Latinske Amerike, kjer bo voditeljica Roanna Sabeh-Azar predstavljala značilne južnoameriške jedi.|NE|4:Razsirjena:DA|2:ZgledNeKolMorda:NE|3:Razsirjena:DA||
74|3.59|1587|prevod|samostalnik|SBZ0 sbz2|95|54740906|Andrej|prevod_376|Briljantina je eden najuspešnejših muzikalov vseh časov v slovenskem prevodu Andreja Rozmana Roze.|NE|4:Ne:NE|7:Ne:NE|2:Ne:NE||
12|7.02|648|hormon|samostalnik|SBZ0 sbz2|76|88997478|androgen|hormon_441|Pri moških je penis še v maternici navadno izpostavljen večjim ravnem hormonov androgenov, med katerimi je tudi testosteron.|NE|4:Struktura:NE|2:Da:DA|5:Struktura:NE||
50|6.86|14|aplikacija|samostalnik|sbz0 SBZ2|53|91481574|android|aplikacija_226|Namen natečaja je bil spodbuditi udeležbo domačega znanja pri razvoju za uporabnike zanimivih Android aplikacij.|NE|5:Ne:NE|4:Struktura:NE|2:Struktura:NE||
13|5.77|832|korenina|samostalnik|SBZ0 sbz2|95|41434075|angelika|korenina_481|Občasno dodajajo tudi druga aromatična zelišča in rastline, kot so na primer koriander, cimet, in korenine angelike.|DA|2:Da:DA|4:MnozinaIzt:DA|3:Da:DA||
12|5.77|1368|plašč|samostalnik|SBZ0 sbz2|83|51429632|anonimnost|plašč_351|Včasih so vpili na stadionih v zavetju množic, dandanes »vpijejo« pod plaščem anonimnosti v forumih.|DA|4:Da:DA|2:Da:DA|7:Da:DA||
28|3.26|719|jazz|samostalnik|SBZ0 sbz2|82|95226929|ansambel|jazz_480|Kaj kmalu je s trobente presedlal na bobne in postal član Ljubljanskega jazz ansambla.|NE|4:Struktura:NE|2:Struktura:NE|5:Struktura:NE||
